id,round,date,time,venue,division,hometeam,homescore,awayscore,awayteam
1,1,7/4/2024,9.3,Barratt Reserve 1,1,Plympton FC,1,2,Croatia
2,1,7/4/2024,11.15,Barratt Reserve 1,2,Old Plymptonians,4,1,Austria
3,1,7/4/2024,9.3,Barratt Reserve 2,1,Pulteney,9,1,University Old Boys
4,1,7/4/2024,11.15,Barratt Reserve 2,2,Pulteney Crabs,0,8,West Beach
5,1,7/4/2024,9.3,Barratt Reserve 3,1,Royal Ajvar,2,1,Cove Masters
6,1,7/4/2024,11.15,Barratt Reserve 3,2,Mercedes,9,2,Adelaide Spurs
7,1,7/4/2024,9.3,Barratt Reserve 4,1,Sporting,3,1,St Peters
8,1,7/4/2024,11.15,Barratt Reserve 4,2,Southern Sharks,1,7,University Orange
9,1,7/4/2024,9.3,Barratt Reserve 5,1,BYE,,,Sturt Fusion
10,1,7/4/2024,11.15,Barratt Reserve 5,2,Southern Cross,3,2,Sturt Marion OB
11,2,14/4/2024,9.3,Barratt Reserve 1,2,Pulteney Crabs,0,10,Sturt Marion OB
12,2,14/4/2024,11.15,Barratt Reserve 1,1,Pulteney,4,2,Sturt Fusion
13,2,14/4/2024,9.3,Barratt Reserve 2,2,Austria,1,2,Mercedes
14,2,14/4/2024,11.15,Barratt Reserve 2,1,Royal Ajvar,1,5,Croatia
15,2,14/4/2024,9.3,Barratt Reserve 3,2,University Orange,2,0,Southern Cross
16,2,14/4/2024,11.15,Barratt Reserve 3,1,St Peters,0,2,Cove Masters
17,2,14/4/2024,9.3,Barratt Reserve 4,2,Adelaide Spurs,0,3,Southern Sharks
18,2,14/4/2024,11.15,Barratt Reserve 4,1,Sporting,4,0,University Old Boys
19,2,14/4/2024,9.3,Barratt Reserve 5,2,Old Plymptonians,1,5,West Beach
20,2,14/4/2024,11.15,Barratt Reserve 5,1,BYE,,,Plympton FC
21,3,21/4/2024,9.3,Barratt Reserve 1,1,St Peters,0,4,Plympton FC
22,3,21/4/2024,11.15,Barratt Reserve 1,2,University Orange,0,1,Old Plymptonians
23,3,21/4/2024,9.3,Barratt Reserve 2,1,Cove Masters,2,3,Sturt Fusion
24,3,21/4/2024,11.15,Barratt Reserve 2,2,Sturt Marion OB,3,1,Mercedes
25,3,21/4/2024,9.3,Barratt Reserve 3,1,University Old Boys,0,7,Croatia
26,3,21/4/2024,11.15,Barratt Reserve 3,2,Southern Cross,9,0,Adelaide Spurs
27,3,21/4/2024,9.3,Barratt Reserve 4,1,Sporting,3,1,Pulteney
28,3,21/4/2024,11.15,Barratt Reserve 4,2,Southern Sharks,6,0,Pulteney Crabs
29,3,21/4/2024,9.3,Barratt Reserve 5,1,BYE,,,Royal Ajvar
30,3,21/4/2024,11.15,Barratt Reserve 5,2,West Beach,2,1,Austria
31,4,28/4/2024,9.3,Barratt Reserve 1,2,West Beach,6,2,Southern Cross
32,4,28/4/2024,11.15,Barratt Reserve 1,1,University Old Boys,1,4,St Peters
33,4,28/4/2024,9.3,Barratt Reserve 2,2,Mercedes,6,1,Old Plymptonians
34,4,28/4/2024,11.15,Barratt Reserve 2,1,Plympton FC,5,1,Pulteney
35,4,28/4/2024,9.3,Barratt Reserve 3,2,Austria,1,2,Pulteney Crabs
36,4,28/4/2024,11.15,Barratt Reserve 3,1,Sturt Fusion,2,3,Royal Ajvar
37,4,28/4/2024,9.3,Barratt Reserve 4,2,Sturt Marion OB,3,3,Southern Sharks
38,4,28/4/2024,11.15,Barratt Reserve 4,1,Croatia,7,3,Sporting
39,4,28/4/2024,9.3,Barratt Reserve 5,2,Adelaide Spurs,0,5,University Orange
40,4,28/4/2024,11.15,Barratt Reserve 5,1,BYE,,,Cove Masters
41,6,19/5/2024,9.3,Barratt Reserve 1,2,Old Plymptonians,,,Pulteney Crabs
42,6,19/5/2024,11.15,Barratt Reserve 1,1,Royal Ajvar,,,Plympton FC
43,6,19/5/2024,9.3,Barratt Reserve 2,2,West Beach,,,University Orange
44,6,19/5/2024,11.15,Barratt Reserve 2,1,St Peters,,,Croatia
45,6,19/5/2024,9.3,Barratt Reserve 3,2,Adelaide Spurs,,,Sturt Marion OB
46,6,19/5/2024,11.15,Barratt Reserve 3,1,Cove Masters,,,University Old Boys
47,6,19/5/2024,9.3,Barratt Reserve 4,2,Austria,,,Southern Sharks
48,6,19/5/2024,11.15,Barratt Reserve 4,1,Sporting,,,Sturt Fusion
49,6,19/5/2024,9.3,Barratt Reserve 5,2,Mercedes,,,Southern Cross
50,6,19/5/2024,11.15,Barratt Reserve 5,1,BYE,,,Pulteney
51,5,26/5/2024,9.3,Barratt Reserve 1,1,Croatia,,,Cove Masters
52,5,26/5/2024,11.15,Barratt Reserve 1,2,University Orange,,,Sturt Marion OB
53,5,26/5/2024,9.3,Barratt Reserve 2,1,Sturt Fusion,,,St Peters
54,5,26/5/2024,11.15,Barratt Reserve 2,2,Pulteney Crabs,,,Mercedes
55,5,26/5/2024,9.3,Barratt Reserve 3,1,Pulteney,,,Royal Ajvar
56,5,26/5/2024,11.15,Barratt Reserve 3,2,Old Plymptonians,,,Adelaide Spurs
57,5,26/5/2024,9.3,Barratt Reserve 4,1,Plympton FC,,,Sporting
58,5,26/5/2024,11.15,Barratt Reserve 4,2,Southern Sharks,,,West Beach
59,5,26/5/2024,9.3,Barratt Reserve 5,2,Southern Cross,,,Austria
60,5,26/5/2024,11.15,Barratt Reserve 5,1,BYE,,,University Old Boys
61,7,2/6/2024,9.3,Barratt Reserve 1,1,Sturt Fusion,,,University Old Boys
62,7,2/6/2024,11.15,Barratt Reserve 1,2,Sturt Marion OB,,,West Beach
63,7,2/6/2024,9.3,Barratt Reserve 2,1,Plympton FC,,,Cove Masters
64,7,2/6/2024,11.15,Barratt Reserve 2,2,Southern Cross,,,Old Plymptonians
65,7,2/6/2024,9.3,Barratt Reserve 3,1,Pulteney,,,St Peters
